what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1360766575131
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1360766575131
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1360766575131
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1360766575131
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1360766575131
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1360766575131
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1360766575132
stopped,bundle,org.eclipse.wtp.epp.package.jee.intro,1.3.0.v201006142040,"org.eclipse.wtp.epp.package.jee.intro",1360766575132
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1360766575132
stopped,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1360766575132
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1360766575132
stopped,bundle,org.eclipse.wst.server.preview,1.1.100.v20091208,"org.eclipse.wst.server.preview",1360766575132
stopped,bundle,com.google.appengine.eclipse.datatools,3.1.3.v201212122040-rel-r37,"com.google.appengine.eclipse.datatools",1360766575132
stopped,bundle,com.google.appengine.eclipse.webtools,3.1.3.v201212122040-rel-r37,"com.google.appengine.eclipse.webtools",1360766575132
stopped,bundle,com.google.gdt.eclipse.appengine.swarm_backend,3.1.3.v201212122040-rel-r37,"com.google.gdt.eclipse.appengine.swarm_backend",1360766575132
stopped,bundle,com.google.gdt.eclipse.appengine.swarm,3.1.3.v201212122040-rel-r37,"com.google.gdt.eclipse.appengine.swarm",1360766575132
stopped,bundle,com.google.gdt.eclipse.appengine.rpc,3.1.3.v201212122040-rel-r37,"com.google.gdt.eclipse.appengine.rpc",1360766575132
stopped,bundle,com.google.gdt.eclipse.gph.e36,3.1.3.v201212122040-rel-r37,"com.google.gdt.eclipse.gph.e36",1360766575132
stopped,bundle,com.google.gdt.eclipse.gph.hge,3.1.3.v201212122040-rel-r37,"com.google.gdt.eclipse.gph.hge",1360766575132
stopped,bundle,com.google.gdt.eclipse.gph.subclipse,3.1.3.v201212122040-rel-r37,"com.google.gdt.eclipse.gph.subclipse",1360766575132
stopped,bundle,com.google.gdt.eclipse.gph.subversive,3.1.3.v201212122040-rel-r37,"com.google.gdt.eclipse.gph.subversive",1360766575132
stopped,bundle,com.google.gdt.eclipse.suite.ext,3.1.3.v201212122040-rel-r37,"com.google.gdt.eclipse.suite.ext",1360766575132
stopped,bundle,com.google.gdt.eclipse.gph,3.1.3.v201212122040-rel-r37,"com.google.gdt.eclipse.gph",1360766575132
stopped,bundle,com.google.gdt.eclipse.maven.e37,3.1.3.v201212122040-rel-r37,"com.google.gdt.eclipse.maven.e37",1360766575132
stopped,bundle,com.google.gdt.eclipse.maven,3.1.3.v201212122040-rel-r37,"com.google.gdt.eclipse.maven",1360766575132
stopped,bundle,com.google.gdt.eclipse.suite,3.1.3.v201212122040-rel-r37,"com.google.gdt.eclipse.suite",1360766575133
stopped,bundle,com.google.gdt.eclipse.appsmarketplace,3.1.3.v201212122040-rel-r37,"com.google.gdt.eclipse.appsmarketplace",1360766575133
stopped,bundle,com.google.gdt.eclipse.managedapis,3.1.3.v201212122040-rel-r37,"com.google.gdt.eclipse.managedapis",1360766575133
stopped,bundle,com.google.appengine.eclipse.core,3.1.3.v201212122040-rel-r37,"com.google.appengine.eclipse.core",1360766575133
stopped,bundle,com.google.gdt.eclipse.login,3.1.3.v201212122040-rel-r37,"com.google.gdt.eclipse.login",1360766575133
stopped,bundle,com.google.gwt.eclipse.oophm,3.1.3.v201212122040-rel-r37,"com.google.gwt.eclipse.oophm",1360766575134
stopped,bundle,com.google.gwt.eclipse.sdkbundle,2.5.0.v201212122040-rel-r37,"com.google.gwt.eclipse.sdkbundle",1360766575134
stopped,bundle,org.slim3.eclipse.core,1.0.13.201111281535,"org.slim3.eclipse.core",1360766575134
stopped,bundle,com.google.gwt.eclipse.core,3.1.3.v201212122040-rel-r37,"com.google.gwt.eclipse.core",1360766575242
stopped,bundle,com.google.gdt.eclipse.core,3.1.3.v201212122040-rel-r37,"com.google.gdt.eclipse.core",1360766575242
stopped,bundle,com.google.gdt.eclipse.platform,3.1.3.v201212122040-rel-r37,"com.google.gdt.eclipse.platform",1360766575242
stopped,bundle,com.google.gdt.eclipse.platform.e37,3.1.3.v201212122040-rel-r37,"com.google.gdt.eclipse.platform.e37",1360766575242
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1360766575242
stopped,bundle,org.eclipse.m2e.core.ui,1.0.200.20111228-1245,"org.eclipse.m2e.core.ui",1360766575242
stopped,bundle,org.eclipse.m2e.core,1.0.200.20111228-1245,"org.eclipse.m2e.core",1360766575242
stopped,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1360766575242
stopped,bundle,org.eclipse.jst.ws.jaxws.core,1.0.100.v201104031139,"org.eclipse.jst.ws.jaxws.core",1360766575242
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.bugzilla.ui",1360766575242
stopped,bundle,org.eclipse.mylyn.bugzilla.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.bugzilla.core",1360766575242
stopped,bundle,org.eclipse.mylyn.commons.xmlrpc,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.xmlrpc",1360766575242
stopped,bundle,org.eclipse.datatools.enablement.oda.ws.ui,1.2.3.v201112061438,"org.eclipse.datatools.enablement.oda.ws.ui",1360766575242
stopped,bundle,org.eclipse.datatools.enablement.oda.ws,1.2.3.v201112061438,"org.eclipse.datatools.enablement.oda.ws",1360766575242
